,ID_PRET,SEXE,AGE,OCCUPATION,SOURCE_REVENU,REVENU_TOTAL,VOITURE,IMMOBILIER,DETTE_TOTALE
58749,114181,F,57,Not applicable / Not specified,Pensioner,108000.0,N,Y,0.0
58857,114206,F,42,Sales staff,Working,135000.0,N,N,1601649.0
58966,114230,M,23,Accountants,Working,103500.0,N,N,0.0
59086,114254,M,52,Not applicable / Not specified,Commercial associate,90000.0,N,Y,0.0
60047,114462,F,30,Core staff,Working,315000.0,N,Y,642433.5
60094,114479,M,37,Laborers,Working,135000.0,Y,Y,0.0
60633,114609,M,37,Laborers,Working,180000.0,N,Y,0.0
61219,114765,F,40,Core staff,Working,81000.0,N,Y,0.0
61561,114849,F,27,Not applicable / Not specified,Working,90000.0,N,Y,0.0
61664,114876,F,54,Cleaning staff,Working,135000.0,Y,Y,16488.0
62029,114952,M,36,Not applicable / Not specified,Working,126000.0,Y,Y,69737.76
62086,114971,F,64,Not applicable / Not specified,Pensioner,103500.0,N,Y,0.0
64165,115498,F,46,Accountants,Working,112500.0,N,Y,105237.0
64306,115530,F,54,Core staff,Working,121500.0,N,N,1155231.0
64377,115544,M,50,Not applicable / Not specified,Pensioner,126000.0,N,N,0.0
65216,115730,F,63,Not applicable / Not specified,Pensioner,135000.0,N,Y,246631.5
65726,115845,F,48,Accountants,Working,202500.0,Y,Y,0.0
65872,115874,F,58,Not applicable / Not specified,Pensioner,90000.0,N,Y,173506.5
67066,116114,M,38,Laborers,Working,135000.0,N,Y,0.0
67211,116152,F,45,Not applicable / Not specified,Pensioner,90000.0,N,Y,200776.5
68098,116362,M,32,Laborers,Working,202500.0,N,Y,0.0
68673,116512,F,65,Not applicable / Not specified,Pensioner,59400.0,N,Y,6111.0
69006,116589,F,34,Not applicable / Not specified,Commercial associate,112500.0,N,Y,532782.0
69079,116617,M,28,Laborers,Working,225000.0,Y,Y,430654.5
69487,116711,M,53,Not applicable / Not specified,Commercial associate,225000.0,Y,N,0.0
69617,116744,F,29,Sales staff,Working,99000.0,N,N,166734.0
70274,116903,F,55,Not applicable / Not specified,Pensioner,72000.0,N,Y,148432.5
70359,116922,F,49,Not applicable / Not specified,Working,144000.0,N,Y,60555.42
70773,117028,F,42,Laborers,Working,180000.0,N,N,0.0
71103,117119,M,35,Laborers,Commercial associate,315000.0,Y,Y,1070941.5
71408,117189,F,37,Accountants,Working,135000.0,Y,Y,259312.5
71582,117230,F,61,Core staff,Working,90000.0,Y,Y,0.0
72427,117420,M,43,Managers,Working,157500.0,N,Y,270625.5
72555,117455,F,64,Not applicable / Not specified,Pensioner,112500.0,N,Y,147888.0
73630,117680,M,42,Drivers,Working,315000.0,Y,Y,2409610.5
74175,117800,M,31,Laborers,Commercial associate,135000.0,N,Y,227317.5
74484,117866,F,59,Laborers,Commercial associate,225000.0,Y,Y,2330316.0
74743,117928,F,44,Cleaning staff,Working,216000.0,N,Y,308261.835
75583,118111,F,29,Core staff,Working,54000.0,Y,Y,218070.0
76246,118255,F,40,Not applicable / Not specified,Working,112500.0,N,Y,103986.0
77571,118580,F,34,Laborers,Working,270000.0,N,Y,21338.505
77985,118685,M,31,Core staff,State servant,180000.0,Y,Y,1165599.0
78673,118844,F,36,Sales staff,Working,112500.0,N,Y,352156.5
78678,118845,F,41,Laborers,Working,90000.0,N,N,0.0
78832,118881,F,33,Waiters/barmen staff,Commercial associate,157500.0,N,N,43591.5
78896,118902,F,52,Core staff,Working,270000.0,Y,Y,259339.5
79499,119048,M,46,Drivers,Working,292500.0,Y,Y,0.0
79580,119074,F,24,Laborers,Working,112500.0,Y,Y,0.0
80464,119307,F,62,Not applicable / Not specified,Pensioner,67500.0,N,Y,0.0
82335,119740,M,35,Laborers,Working,135000.0,N,N,0.0
84149,120155,M,50,Drivers,Working,135000.0,Y,Y,0.0
84983,120385,F,58,Not applicable / Not specified,Working,135000.0,N,Y,0.0
86368,120710,F,34,Not applicable / Not specified,Working,270000.0,Y,Y,2908687.5
86785,120805,F,47,Not applicable / Not specified,Working,99000.0,N,Y,133803.0
86817,120810,F,51,Not applicable / Not specified,State servant,180000.0,Y,Y,331544.565
87563,120963,F,29,Cooking staff,Commercial associate,135000.0,N,Y,4072.5
87971,121083,M,28,Laborers,Working,135000.0,Y,Y,9548860.5
89209,121371,F,28,High skill tech staff,Working,270000.0,N,N,0.0
90006,121554,F,27,Not applicable / Not specified,Working,166500.0,N,N,994707.0
90302,121625,F,34,Not applicable / Not specified,Working,157500.0,N,Y,0.0
90657,121706,F,52,Managers,Commercial associate,202500.0,N,Y,0.0
90921,121757,M,28,Sales staff,Working,94500.0,Y,Y,1250437.5
90938,121761,F,42,Laborers,State servant,112500.0,Y,Y,0.0
91476,121893,F,46,Security staff,Commercial associate,157500.0,N,Y,240178.5
91759,121967,F,48,Sales staff,Working,135000.0,N,Y,64669.5
91846,121988,M,49,Security staff,Working,135000.0,N,N,0.0
92015,122030,M,48,High skill tech staff,Working,202500.0,Y,Y,2664796.5
93530,122408,F,45,Private service staff,Working,144000.0,N,Y,672232.5
93947,122496,M,68,Not applicable / Not specified,Pensioner,67500.0,Y,Y,0.0
94304,122576,F,65,Not applicable / Not specified,Pensioner,126000.0,N,Y,196461.0
94527,122619,F,47,Cooking staff,Working,90000.0,N,Y,0.0
95644,122898,F,55,Not applicable / Not specified,Pensioner,315000.0,N,Y,200637.0
95889,122955,F,35,High skill tech staff,Working,135000.0,N,Y,0.0
96441,123070,M,58,Sales staff,Working,252000.0,N,N,0.0
96623,123121,F,61,Not applicable / Not specified,Pensioner,202500.0,N,Y,31981.41
97179,123269,F,66,Not applicable / Not specified,Pensioner,135000.0,N,Y,116702.595
97255,123288,F,55,Sales staff,Commercial associate,171000.0,Y,N,0.0
97416,123319,F,47,Core staff,Working,184500.0,N,N,0.0
100839,124093,F,38,Core staff,Commercial associate,157500.0,N,Y,234738.0
100993,124125,M,55,Not applicable / Not specified,Working,225000.0,Y,N,1605676.5
101066,124145,F,41,Core staff,Working,67500.0,Y,N,83011.5
102076,124373,M,44,Not applicable / Not specified,Working,180000.0,N,Y,229651.56
102439,124457,F,48,Core staff,State servant,202500.0,N,N,835951.5
104278,124908,F,26,Sales staff,Working,112500.0,N,Y,408060.0
104707,125000,F,54,Core staff,State servant,112500.0,N,Y,1387719.0
105304,125135,M,34,Not applicable / Not specified,Working,202500.0,Y,Y,0.0
105533,125187,F,49,Sales staff,Commercial associate,270000.0,N,Y,1233373.5
107029,125557,F,54,Not applicable / Not specified,Working,157500.0,N,Y,0.0
107402,125635,F,59,Not applicable / Not specified,Pensioner,67500.0,N,Y,173641.5
107627,125689,F,52,Medicine staff,Working,112500.0,N,Y,136759.5
107925,125757,F,55,Laborers,Working,225000.0,N,Y,0.0
108657,125918,M,24,Laborers,Commercial associate,225000.0,N,Y,54711.0
109124,126032,M,28,Core staff,Working,135000.0,Y,N,2168469.0
109862,126195,M,38,Not applicable / Not specified,Working,180000.0,Y,N,323302.5
110042,126250,F,43,Sales staff,Working,112500.0,Y,N,0.0
110322,126318,M,48,Laborers,Commercial associate,180000.0,Y,Y,177646.59
110375,126330,F,39,Medicine staff,Working,81000.0,N,Y,0.0
110801,126442,F,45,Managers,Working,157500.0,Y,Y,839781.0
110907,126463,F,23,Laborers,Working,63000.0,N,Y,0.0
111426,126598,M,59,Not applicable / Not specified,Pensioner,202500.0,N,Y,200884.5
111986,126712,F,55,Not applicable / Not specified,Pensioner,202500.0,N,N,287644.5
112213,126764,M,35,Managers,Working,225000.0,Y,Y,0.0
112528,126837,F,58,Not applicable / Not specified,Pensioner,112500.0,N,Y,0.0
112531,126840,F,60,Not applicable / Not specified,Pensioner,198000.0,N,Y,526747.5
113205,127016,F,40,Core staff,Working,162000.0,N,Y,469535.085
113516,127078,F,33,Not applicable / Not specified,Working,112500.0,N,N,62793.0
113756,127129,F,36,Cleaning staff,Working,45000.0,N,Y,0.0
114078,127213,F,29,Accountants,Commercial associate,135000.0,Y,Y,0.0
114112,127224,F,28,Medicine staff,Working,180000.0,N,N,313200.0
114586,127343,F,58,Not applicable / Not specified,Pensioner,112500.0,N,Y,0.0
115471,127550,F,64,Not applicable / Not specified,Pensioner,67500.0,N,Y,0.0
115787,127625,F,56,Not applicable / Not specified,Pensioner,279000.0,N,N,42835.5
115998,127672,M,32,Core staff,Working,90000.0,Y,N,0.0
116792,127847,F,31,Not applicable / Not specified,Working,225000.0,Y,N,0.0
116924,127877,F,29,Secretaries,State servant,54000.0,N,Y,0.0
117529,128043,F,55,Not applicable / Not specified,Pensioner,270000.0,N,Y,548248.5
117543,128051,M,43,Managers,Commercial associate,315000.0,N,N,674765.55
117638,128082,F,38,Not applicable / Not specified,Working,81000.0,N,Y,0.0
117829,128124,F,30,Waiters/barmen staff,Commercial associate,157500.0,N,Y,118125.0
117959,128158,M,26,High skill tech staff,State servant,220500.0,Y,N,323388.0
118773,128353,F,25,Laborers,Commercial associate,112500.0,N,Y,275409.0
120260,128718,M,64,Managers,Commercial associate,405000.0,Y,Y,1518565.5
121465,128965,M,28,Drivers,Commercial associate,157500.0,Y,N,648812.475
122476,129195,F,33,Sales staff,Working,180000.0,Y,Y,113202.0
122572,129219,M,39,Laborers,Working,270000.0,Y,Y,1643274.0
123077,129335,F,63,Not applicable / Not specified,Pensioner,76500.0,N,Y,43505.955
124804,129730,F,58,Not applicable / Not specified,Pensioner,247500.0,N,Y,32746.5
126182,130011,F,42,Sales staff,Working,157500.0,N,Y,304821.0
126484,130092,F,40,Sales staff,Working,126000.0,Y,Y,0.0
126493,130097,F,31,Not applicable / Not specified,State servant,81000.0,N,N,0.0
126586,130112,M,25,Laborers,Commercial associate,225000.0,Y,N,1080228.87
126643,130122,F,46,Managers,Working,94500.0,N,Y,0.0
127574,130328,F,28,Core staff,State servant,225000.0,Y,Y,0.0
127980,130433,F,53,Not applicable / Not specified,Working,202500.0,N,N,0.0
128082,130469,F,60,Not applicable / Not specified,Pensioner,112500.0,N,Y,459243.225
128129,130481,F,31,Not applicable / Not specified,Commercial associate,90000.0,N,Y,73224.0
128633,130587,F,37,Accountants,Working,112500.0,Y,Y,190827.0
128884,130646,F,27,Not applicable / Not specified,Commercial associate,135000.0,N,N,101137.5
128993,130664,M,25,Sales staff,Working,225000.0,Y,Y,182110.5
130838,131065,F,53,Not applicable / Not specified,Pensioner,63000.0,N,Y,0.0
132349,131422,F,32,Sales staff,Working,135000.0,Y,Y,223816.68
133295,131612,M,40,Laborers,Working,211500.0,Y,Y,214096.5
133797,131707,M,24,Laborers,Working,157500.0,N,N,156481.965
133891,131728,F,28,Sales staff,Commercial associate,225000.0,Y,Y,62811.0
134262,131805,F,51,Sales staff,Working,90000.0,N,Y,606177.0
134651,131899,F,37,Laborers,Working,135000.0,Y,Y,0.0
135093,132001,M,56,Managers,Working,405000.0,Y,Y,1114911.0
135215,132029,F,44,Drivers,Commercial associate,180000.0,N,Y,397161.0
135334,132056,F,48,Cleaning staff,Commercial associate,216000.0,N,N,92286.0
135612,132135,M,47,Laborers,Working,144000.0,N,Y,0.0
135801,132186,F,60,Not applicable / Not specified,Pensioner,99000.0,N,Y,172597.5
136699,132415,F,55,Managers,Working,270000.0,Y,Y,1173033.0
137172,132530,F,59,Not applicable / Not specified,Pensioner,135000.0,Y,Y,252841.5
137403,132596,F,62,Not applicable / Not specified,Pensioner,153000.0,N,Y,545782.5
138449,132829,F,65,Not applicable / Not specified,Pensioner,166500.0,N,N,0.0
139170,132988,M,29,Not applicable / Not specified,State servant,128250.0,N,N,1469272.5
139446,133049,F,38,Core staff,Commercial associate,135000.0,Y,N,0.0
139631,133098,F,30,Sales staff,Working,202500.0,Y,Y,0.0
139686,133112,F,61,Not applicable / Not specified,Working,90000.0,N,Y,0.0
139766,133133,M,22,Realty agents,State servant,405000.0,Y,Y,45936.0
139942,133169,F,45,Medicine staff,State servant,229500.0,N,Y,0.0
140611,133327,M,27,Not applicable / Not specified,Working,157500.0,Y,N,8842819.5
140905,133395,F,63,Not applicable / Not specified,Commercial associate,135000.0,N,Y,238891.5
141251,133457,F,55,Laborers,Working,90000.0,Y,Y,1012500.0
141820,133606,F,47,Core staff,Working,103500.0,N,Y,0.0
141990,133650,F,57,Not applicable / Not specified,Pensioner,81000.0,N,Y,0.0
142421,133746,F,43,Not applicable / Not specified,Commercial associate,202500.0,Y,Y,566856.0
142994,133867,M,35,Drivers,Working,450000.0,N,Y,0.0
143089,133891,F,62,Not applicable / Not specified,Pensioner,135000.0,N,Y,57645.0
143231,133924,M,42,Laborers,Working,90000.0,N,Y,0.0
144161,134152,F,46,Cleaning staff,Commercial associate,135000.0,N,Y,0.0
144395,134213,F,52,IT staff,Working,382500.0,N,N,0.0
145339,134436,M,42,Laborers,Working,135000.0,N,Y,0.0
145369,134441,M,54,Drivers,Working,135000.0,Y,N,134950.5
145998,134585,M,33,Core staff,Working,202500.0,Y,Y,9651037.5
146515,134693,F,66,Not applicable / Not specified,Pensioner,180000.0,N,Y,45796.5
147761,134970,F,34,Sales staff,Working,90000.0,N,N,0.0
147873,135003,F,42,Managers,Commercial associate,225000.0,Y,Y,201833.865
148955,135239,F,37,Cooking staff,Working,67500.0,N,Y,0.0
148984,135248,F,60,Accountants,Working,99000.0,N,Y,131089.5
149006,135254,M,57,Security staff,Working,135000.0,N,Y,0.0
149327,135328,F,40,High skill tech staff,Working,270000.0,Y,Y,0.0
149730,135419,F,34,Sales staff,Commercial associate,180000.0,Y,Y,0.0
150950,135708,F,63,Not applicable / Not specified,Pensioner,81000.0,N,Y,140404.32
151741,135919,F,52,Not applicable / Not specified,Working,148500.0,Y,Y,1460695.5
151758,135921,F,66,Not applicable / Not specified,Pensioner,81000.0,Y,Y,132304.5
152011,135981,M,45,Managers,Working,270000.0,Y,Y,895705.74
153192,136258,F,63,Not applicable / Not specified,Pensioner,247500.0,Y,Y,858328.515
153214,136265,M,33,Laborers,Working,148500.0,N,Y,1314765.0
153801,136401,M,42,High skill tech staff,Working,202500.0,N,Y,0.0
154712,136616,F,53,Not applicable / Not specified,Working,135000.0,N,Y,25470.0
156869,137122,F,50,Sales staff,Working,117000.0,N,N,12694.5
157269,137206,F,31,Medicine staff,Working,157500.0,Y,Y,334255.5
157447,137244,F,30,Sales staff,Working,112500.0,N,Y,678730.5
157854,137345,F,43,Not applicable / Not specified,Working,202500.0,Y,N,865962.0
157870,137349,F,40,Private service staff,Commercial associate,180000.0,N,N,0.0
157937,137372,F,58,Not applicable / Not specified,Pensioner,45000.0,Y,N,286888.5
158044,137392,F,43,Sales staff,Commercial associate,157500.0,N,Y,0.0
158052,137393,M,27,Laborers,Working,135000.0,Y,N,397080.0
158527,137508,F,56,Not applicable / Not specified,Pensioner,103500.0,N,Y,0.0
158783,137553,M,63,Not applicable / Not specified,Pensioner,189000.0,N,Y,0.0
159184,137652,F,68,Not applicable / Not specified,Pensioner,180000.0,N,N,0.0
159669,137778,M,38,Low-skill Laborers,Working,135000.0,N,N,0.0
161668,138224,F,39,Laborers,Working,180000.0,N,N,1451196.0
161711,138231,M,36,Laborers,Working,175500.0,Y,Y,1102801.5
162066,138303,F,46,Laborers,Commercial associate,81000.0,N,Y,49635.0
162276,138351,F,40,Cooking staff,Commercial associate,247500.0,N,Y,0.0
162393,138387,M,59,Security staff,Working,90000.0,Y,Y,183899.205
162715,138464,F,53,Cooking staff,Working,135000.0,N,N,0.0
162954,138524,F,59,Not applicable / Not specified,Pensioner,225000.0,N,Y,1350000.0
163657,138700,F,38,Private service staff,Commercial associate,189000.0,N,Y,83245.5
163663,138701,F,50,Sales staff,Working,247500.0,N,Y,0.0
163894,138755,F,36,Cooking staff,Working,112500.0,N,Y,0.0
163980,138774,F,52,Not applicable / Not specified,Pensioner,135000.0,N,Y,85261.5
164104,138791,M,23,Not applicable / Not specified,Working,135000.0,N,N,0.0
164480,138870,F,50,Laborers,Commercial associate,112500.0,N,Y,151798.5
164605,138898,F,45,Not applicable / Not specified,State servant,67500.0,N,Y,0.0
164804,138936,M,31,Not applicable / Not specified,Working,135000.0,Y,Y,0.0
165007,138989,M,36,Laborers,Commercial associate,180000.0,N,Y,64368.0
165582,139133,M,27,Laborers,Commercial associate,180000.0,N,Y,39874.05
167970,139703,F,43,Sales staff,Working,67500.0,N,Y,0.0
169251,139983,F,59,Not applicable / Not specified,Pensioner,135000.0,N,N,351526.5
169494,140047,M,24,Laborers,Working,202500.0,Y,Y,49671.0
171190,140463,M,54,Laborers,Working,288000.0,Y,N,0.0
171982,140632,F,43,Accountants,State servant,157500.0,Y,N,239724.0
174080,141099,M,28,Not applicable / Not specified,Working,153000.0,Y,Y,955624.5
174210,141120,F,29,Accountants,Commercial associate,85500.0,N,N,127278.0
174494,141186,F,56,Sales staff,Working,130500.0,Y,Y,0.0
174552,141195,F,51,Laborers,Working,49500.0,N,N,277123.5
175577,141425,F,52,Not applicable / Not specified,Working,135000.0,N,Y,0.0
175605,141432,F,30,Laborers,Working,72000.0,N,Y,42183.0
176231,141577,F,39,Core staff,Working,144000.0,N,N,0.0
176471,141659,F,60,Not applicable / Not specified,Pensioner,180000.0,N,N,460161.0
177058,141791,M,39,Sales staff,Working,360000.0,Y,Y,0.0
177318,141848,M,43,Drivers,Working,265500.0,Y,Y,433017.45
177364,141858,F,62,Not applicable / Not specified,Pensioner,225000.0,N,Y,0.0
177840,141960,M,29,Low-skill Laborers,Working,135000.0,N,Y,412902.0
178033,142006,F,42,Laborers,Commercial associate,135000.0,N,Y,499252.5
178578,142145,F,37,Sales staff,Commercial associate,157500.0,N,Y,696573.0
178693,142191,M,23,Laborers,Commercial associate,270000.0,N,Y,0.0
179223,142313,F,29,Core staff,Commercial associate,137025.0,N,Y,0.0
179688,142415,F,39,Not applicable / Not specified,Working,135000.0,N,N,0.0
179933,142472,M,38,Laborers,Working,270000.0,Y,Y,151749.0
180141,142518,M,54,Not applicable / Not specified,Commercial associate,112500.0,Y,Y,376173.0
180661,142659,F,47,Sales staff,Working,121500.0,N,Y,0.0
180830,142702,M,34,Drivers,Commercial associate,180000.0,Y,Y,0.0
181006,142751,F,37,Drivers,Working,270000.0,Y,Y,747000.0
181807,142935,M,52,Drivers,Working,90000.0,Y,Y,0.0
182196,143025,F,41,Medicine staff,Working,270000.0,N,Y,562.5
182454,143085,F,45,Sales staff,Working,247500.0,Y,Y,0.0
182542,143111,M,56,Drivers,Working,270000.0,Y,Y,0.0
182999,143235,M,39,Drivers,Working,162000.0,Y,Y,2282485.5
184122,143509,F,30,Laborers,Commercial associate,112500.0,N,Y,0.0
185818,143918,F,36,Managers,Working,180000.0,N,Y,1384573.5
185875,143930,F,35,Laborers,Working,67500.0,N,N,2221020.0
186960,144164,F,62,Not applicable / Not specified,Pensioner,112500.0,N,N,201879.0
187027,144185,F,50,Managers,Commercial associate,135000.0,Y,Y,338539.5
