,ID_PRET,TYPE_CREDIT,MONTANT_CREDIT,MONTANT_ANNUITE,SCORE_EXT_1,SCORE_EXT_2,SCORE_EXT_3,CODE_REJET,OBJET_PRET,RETARD_PAIEMENT_MAX,RETARD_PAIEMENT_TOTAL,STATUT_PRET
1394,101635,Cash loans,630000.0,35176.5,0.77,0.75,0.0,XAP,XAP,0.0,0.0,0
1417,101662,Revolving loans,270000.0,13500.0,0.17,0.5,0.0,XAP,XNA,-1.0,0.0,Not applicable / Not specified
1427,101677,Revolving loans,540000.0,27000.0,0.0,0.68,0.79,XAP,XAP,0.0,0.0,C
1509,101774,Revolving loans,315000.0,15750.0,0.58,0.39,0.23,XAP,XNA,0.0,0.0,Not applicable / Not specified
1788,102091,Cash loans,550980.0,33835.5,0.74,0.71,0.53,XAP,XAP,45.0,0.0,C
1840,102155,Cash loans,729000.0,28908.0,0.6,0.73,0.0,XAP,XNA,0.0,0.0,0
2070,102426,Cash loans,215640.0,16933.5,0.67,0.71,0.61,XAP,XAP,0.0,0.0,Not applicable / Not specified
2169,102546,Cash loans,544491.0,17694.0,0.0,0.55,0.76,HC,XAP,0.0,0.0,Not applicable / Not specified
2176,102554,Cash loans,490495.5,29205.0,0.0,0.02,0.22,XAP,XAP,0.0,0.0,Not applicable / Not specified
2210,102593,Cash loans,1082214.0,31770.0,0.45,0.31,0.7,XAP,Repairs,-1.0,0.0,Not applicable / Not specified
2242,102629,Cash loans,959598.0,28188.0,0.0,0.54,0.31,XAP,XAP,-1.0,0.0,Not applicable / Not specified
2349,102748,Cash loans,258709.5,13270.5,0.0,0.54,0.57,0,0,-1.0,0.0,X
2368,102771,Cash loans,816660.0,26473.5,0.04,0.42,0.15,XAP,XNA,0.0,0.0,X
2379,102783,Cash loans,360000.0,21753.0,0.64,0.16,0.33,XAP,XNA,0.0,0.0,Not applicable / Not specified
2729,103185,Cash loans,754740.0,24475.5,0.75,0.55,0.0,XAP,XNA,0.0,0.0,C
2745,103203,Revolving loans,360000.0,18000.0,0.41,0.67,0.58,LIMIT,XAP,0.0,0.0,Not applicable / Not specified
2943,103431,Cash loans,269550.0,11871.0,0.0,0.53,0.32,XAP,XAP,0.0,0.0,0
3004,103508,Cash loans,1125000.0,47794.5,0.0,0.53,0.66,XAP,XNA,-1.0,0.0,C
3223,103761,Cash loans,508495.5,22527.0,0.75,0.69,0.39,XAP,XAP,-1.0,0.0,1
3227,103766,Cash loans,276277.5,21825.0,0.53,0.61,0.71,XAP,XAP,-1.0,0.0,Not applicable / Not specified
3273,103821,Cash loans,792162.0,38241.0,0.0,0.73,0.27,XAP,XAP,0.0,0.0,C
3282,103833,Cash loans,755190.0,32125.5,0.0,0.49,0.0,XAP,XNA,0.0,0.0,C
3385,103953,Cash loans,781695.0,25344.0,0.67,0.62,0.14,XAP,XNA,0.0,0.0,Not applicable / Not specified
3675,104286,Cash loans,284256.0,26707.5,0.0,0.78,0.0,XAP,XAP,0.0,0.0,0
3810,104452,Cash loans,286704.0,19287.0,0.36,0.64,0.2,XAP,XAP,0.0,0.0,0
3827,104474,Cash loans,252000.0,9630.0,0.0,0.5,0.2,HC,XNA,0.0,0.0,C
3844,104494,Revolving loans,135000.0,6750.0,0.07,0.05,0.24,XAP,XAP,0.0,0.0,Not applicable / Not specified
3863,104519,Cash loans,90000.0,5634.0,0.0,0.6,0.58,XAP,XNA,0.0,0.0,X
4029,104711,Cash loans,533304.0,29061.0,0.0,0.17,0.0,XAP,XAP,0.0,0.0,0
4227,104949,Cash loans,315000.0,17716.5,0.0,0.52,0.68,XAP,XAP,0.0,0.0,Not applicable / Not specified
4239,104961,Cash loans,1288350.0,41562.0,0.0,0.45,0.34,XAP,XNA,0.0,0.0,Not applicable / Not specified
4323,105057,Cash loans,197820.0,15988.5,0.0,0.65,0.73,XAP,XAP,0.0,0.0,Not applicable / Not specified
4569,105341,Cash loans,825588.0,44113.5,0.82,0.78,0.64,XAP,XAP,0.0,0.0,Not applicable / Not specified
4717,105513,Cash loans,555273.0,16042.5,0.0,0.24,0.39,XAP,XNA,0.0,0.0,Not applicable / Not specified
4731,105533,Cash loans,1256400.0,36864.0,0.69,0.64,0.74,XAP,XNA,0.0,0.0,Not applicable / Not specified
4831,105649,Cash loans,284400.0,16456.5,0.0,0.62,0.34,XAP,XAP,0.0,0.0,Not applicable / Not specified
4893,105721,Cash loans,900000.0,23872.5,0.0,0.5,0.0,0,0,0.0,0.0,0
4929,105770,Cash loans,269550.0,14242.5,0.0,0.13,0.0,XAP,XAP,0.0,0.0,0
5004,105854,Cash loans,490500.0,25042.5,0.55,0.29,0.46,XAP,XNA,0.0,0.0,0
5169,106048,Revolving loans,247500.0,12375.0,0.0,0.46,0.15,XAP,XAP,0.0,0.0,Not applicable / Not specified
5283,106177,Cash loans,497520.0,36054.0,0.0,0.74,0.0,XAP,XAP,0.0,0.0,0
5341,106244,Cash loans,781920.0,28215.0,0.72,0.7,0.6,XAP,XAP,0.0,0.0,Not applicable / Not specified
5449,106378,Revolving loans,270000.0,13500.0,0.0,0.69,0.57,XAP,XAP,0.0,0.0,Not applicable / Not specified
6013,107040,Cash loans,851778.0,25033.5,0.0,0.16,0.76,XAP,XNA,0.0,0.0,Not applicable / Not specified
6057,107087,Cash loans,1006920.0,45630.0,0.0,0.75,0.67,XAP,XAP,0.0,0.0,C
6076,107106,Cash loans,835380.0,40320.0,0.55,0.69,0.0,XAP,XNA,0.0,0.0,0
6105,107138,Cash loans,900000.0,31887.0,0.0,0.04,0.56,LIMIT,XAP,0.0,0.0,C
6110,107143,Cash loans,640080.0,29970.0,0.37,0.61,0.69,XAP,XAP,0.0,0.0,Not applicable / Not specified
6308,107363,Revolving loans,1350000.0,67500.0,0.0,0.67,0.0,0,0,0.0,0.0,0
6348,107407,Cash loans,288873.0,16713.0,0.76,0.47,0.73,XAP,XAP,0.0,0.0,Not applicable / Not specified
6413,107482,Revolving loans,180000.0,9000.0,0.28,0.53,0.81,XAP,XAP,0.0,0.0,Not applicable / Not specified
6448,107517,Cash loans,346968.0,10557.0,0.0,0.74,0.67,XAP,XAP,0.0,0.0,Not applicable / Not specified
6524,107609,Cash loans,1314117.0,38551.5,0.0,0.61,0.3,XAP,XAP,0.0,0.0,Not applicable / Not specified
6617,107720,Cash loans,521280.0,47808.0,0.25,0.53,0.0,SCO,Repairs,0.0,0.0,X
6787,107917,Cash loans,632403.0,23971.5,0.75,0.06,0.05,XAP,XNA,0.0,0.0,0
6823,107956,Cash loans,263686.5,17298.0,0.71,0.62,0.8,XAP,XNA,0.0,0.0,Not applicable / Not specified
7008,108159,Cash loans,916470.0,26797.5,0.0,0.32,0.67,XAP,XAP,-1.0,0.0,X
7044,108205,Revolving loans,382500.0,19125.0,0.59,0.63,0.57,XAP,XAP,0.0,0.0,Not applicable / Not specified
7067,108230,Cash loans,970380.0,28503.0,0.0,0.75,0.48,XAP,XAP,0.0,0.0,Not applicable / Not specified
7129,108300,Cash loans,457834.5,22396.5,0.25,0.18,0.75,XAP,XNA,0.0,0.0,Not applicable / Not specified
7225,108410,Cash loans,654498.0,33547.5,0.74,0.72,0.3,XAP,XNA,0.0,0.0,Not applicable / Not specified
7269,108463,Revolving loans,135000.0,6750.0,0.0,0.62,0.36,XAP,XAP,0.0,0.0,Not applicable / Not specified
7527,108776,Cash loans,622413.0,30073.5,0.0,0.56,0.62,XAP,XAP,0.0,0.0,C
7558,108815,Cash loans,888439.5,32040.0,0.8,0.67,0.39,LIMIT,XAP,0.0,0.0,0
7604,108866,Cash loans,728460.0,46683.0,0.0,0.59,0.53,XAP,XNA,0.0,0.0,Not applicable / Not specified
7898,109214,Cash loans,850500.0,33858.0,0.0,0.56,0.0,XAP,XAP,-1.0,0.0,Not applicable / Not specified
7941,109259,Cash loans,1024740.0,52452.0,0.33,0.31,0.3,XAP,XNA,0.0,0.0,C
8067,109406,Cash loans,932643.0,27400.5,0.0,0.52,0.0,XAP,XAP,0.0,0.0,0
8159,109514,Cash loans,587619.0,15628.5,0.0,0.62,0.44,0,0,0.0,0.0,0
8165,109520,Revolving loans,292500.0,14625.0,0.46,0.74,0.0,XAP,XAP,0.0,0.0,Not applicable / Not specified
8282,109657,Cash loans,770913.0,22221.0,0.0,0.55,0.69,XAP,XNA,0.0,0.0,Not applicable / Not specified
8337,109716,Cash loans,675000.0,49248.0,0.0,0.63,0.0,XAP,XNA,0.0,0.0,0
8362,109744,Cash loans,324000.0,17707.5,0.31,0.48,0.19,HC,XNA,0.0,0.0,Not applicable / Not specified
8675,110099,Cash loans,269550.0,12001.5,0.0,0.16,0.21,XAP,XAP,0.0,0.0,Not applicable / Not specified
8731,110160,Cash loans,331834.5,20182.5,0.0,0.62,0.2,XAP,XAP,0.0,0.0,0
8865,110308,Cash loans,1125000.0,32895.0,0.68,0.72,0.41,XAP,XNA,15885.0,0.0,0
8998,110467,Cash loans,180000.0,14350.5,0.0,0.54,0.0,XAP,XAP,0.0,0.0,0
9082,110560,Cash loans,403330.5,31995.0,0.65,0.21,0.42,XAP,XAP,15071.085,0.0,X
9172,110665,Cash loans,983299.5,38997.0,0.0,0.69,0.7,XAP,XAP,0.0,0.0,Not applicable / Not specified
9225,110728,Cash loans,1971072.0,68643.0,0.44,0.59,0.65,XAP,XAP,0.0,0.0,C
9454,110992,Cash loans,450000.0,30073.5,0.0,0.66,0.0,XAP,XAP,0.0,0.0,0
9519,111067,Cash loans,1350000.0,35613.0,0.89,0.54,0.71,XAP,XNA,0.0,0.0,C
9564,111118,Cash loans,495000.0,21933.0,0.0,0.45,0.47,XAP,XAP,0.0,0.0,0
9579,111134,Cash loans,485640.0,34668.0,0.0,0.61,0.81,XAP,XNA,0.0,0.0,Not applicable / Not specified
9978,111609,Revolving loans,180000.0,9000.0,0.0,0.6,0.0,XAP,XNA,0.0,0.0,Not applicable / Not specified
10186,111861,Cash loans,900000.0,26316.0,0.0,0.72,0.71,XAP,XAP,0.0,0.0,Not applicable / Not specified
10294,111981,Cash loans,152820.0,15016.5,0.49,0.59,0.47,XAP,XAP,0.0,0.0,C
10462,112183,Cash loans,127350.0,13500.0,0.0,0.42,0.68,XAP,XNA,8550.0,0.0,C
10478,112201,Cash loans,1800000.0,49500.0,0.0,0.72,0.26,XAP,XNA,0.0,0.0,Not applicable / Not specified
10501,112230,Revolving loans,180000.0,9000.0,0.0,0.39,0.7,XAP,XAP,0.0,0.0,Not applicable / Not specified
10756,112524,Cash loans,225000.0,11074.5,0.34,0.77,0.69,XAP,XAP,0.0,0.0,Not applicable / Not specified
10800,112573,Cash loans,497520.0,33376.5,0.0,0.65,0.0,XAP,XNA,0.0,0.0,0
10969,112772,Cash loans,333337.5,21433.5,0.79,0.56,0.0,XAP,XAP,0.0,0.0,C
11284,113145,Cash loans,983160.0,62964.0,0.0,0.58,0.59,XAP,XAP,0.0,0.0,C
11341,113210,Cash loans,436032.0,24475.5,0.0,0.41,0.0,XAP,XNA,0.0,0.0,0
11361,113231,Cash loans,67500.0,7087.5,0.0,0.75,0.55,XAP,XAP,0.0,0.0,C
11421,113295,Cash loans,942300.0,27679.5,0.36,0.51,0.21,HC,XAP,0.0,0.0,Not applicable / Not specified
11554,113463,Cash loans,900000.0,26316.0,0.68,0.64,0.65,XAP,XAP,0.0,0.0,Not applicable / Not specified
11634,113553,Cash loans,814041.0,23800.5,0.57,0.76,0.49,XAP,XAP,0.0,0.0,Not applicable / Not specified
11665,113594,Cash loans,1762110.0,48586.5,0.0,0.65,0.19,XAP,XNA,0.0,0.0,Not applicable / Not specified
11823,113775,Cash loans,1546020.0,45333.0,0.67,0.63,0.72,XAP,XAP,0.0,0.0,Not applicable / Not specified
12149,114165,Cash loans,755190.0,36459.0,0.0,0.64,0.73,SCO,XAP,13536.0,0.0,C
12161,114181,Cash loans,835605.0,24561.0,0.67,0.64,0.76,XAP,XAP,0.0,0.0,Not applicable / Not specified
12182,114206,Cash loans,497520.0,32391.0,0.0,0.02,0.29,HC,XAP,0.0,0.0,Not applicable / Not specified
12201,114230,Cash loans,877500.0,39784.5,0.0,0.52,0.0,XAP,XAP,0.0,0.0,0
12223,114254,Cash loans,157050.0,8649.0,0.0,0.09,0.45,XAP,XAP,0.0,0.0,Not applicable / Not specified
12409,114462,Cash loans,270000.0,13914.0,0.0,0.37,0.32,XAP,XAP,0.0,0.0,Not applicable / Not specified
12423,114479,Cash loans,315000.0,17217.0,0.0,0.62,0.21,LIMIT,XNA,0.0,0.0,C
12535,114609,Cash loans,1227901.5,52155.0,0.34,0.67,0.0,XAP,XAP,0.0,0.0,0
12667,114765,Cash loans,98910.0,7785.0,0.0,0.73,0.0,XAP,XAP,0.0,0.0,0
12739,114849,Revolving loans,180000.0,9000.0,0.0,0.43,0.0,HC,Urgent needs,0.0,0.0,0
12758,114876,Cash loans,1288350.0,37795.5,0.72,0.64,0.32,HC,XAP,0.0,0.0,Not applicable / Not specified
12827,114952,Cash loans,288873.0,21064.5,0.16,0.34,0.13,XAP,XAP,0.0,0.0,X
12844,114971,Cash loans,1125000.0,30937.5,0.0,0.36,0.0,XAP,XAP,0.0,0.0,0
13287,115498,Cash loans,724500.0,23944.5,0.69,0.65,0.32,XAP,XAP,0.0,0.0,Not applicable / Not specified
13317,115530,Cash loans,900000.0,48825.0,0.0,0.67,0.37,XAP,XAP,0.0,0.0,Not applicable / Not specified
13331,115544,Cash loans,239850.0,23719.5,0.62,0.73,0.0,XAP,XAP,0.0,0.0,Not applicable / Not specified
13495,115730,Cash loans,178290.0,12973.5,0.0,0.52,0.26,XAP,XNA,0.0,0.0,0
13597,115845,Cash loans,797557.5,42624.0,0.0,0.76,0.0,XAP,XAP,0.0,0.0,0
13618,115874,Cash loans,203301.0,19629.0,0.84,0.34,0.36,0,0,0.0,0.0,0
13827,116114,Cash loans,669600.0,29623.5,0.34,0.41,0.0,XAP,XAP,0.0,0.0,0
13857,116152,Cash loans,346500.0,21325.5,0.0,0.72,0.57,XAP,XAP,0.0,0.0,C
14037,116362,Revolving loans,180000.0,9000.0,0.18,0.64,0.0,XAP,XAP,0.0,0.0,0
14161,116512,Cash loans,67500.0,3766.5,0.0,0.22,0.69,XAP,XAP,0.0,0.0,X
14226,116589,Cash loans,225000.0,11430.0,0.33,0.67,0.38,0,0,0.0,0.0,Not applicable / Not specified
14245,116617,Cash loans,305955.0,24529.5,0.0,0.51,0.42,CLIENT,XAP,0.0,0.0,C
14327,116711,Cash loans,1380793.5,73566.0,0.61,0.46,0.67,XAP,XNA,0.0,0.0,Not applicable / Not specified
14355,116744,Cash loans,545040.0,26640.0,0.0,0.55,0.47,XAP,XAP,0.0,0.0,Not applicable / Not specified
14487,116903,Cash loans,490536.0,18621.0,0.0,0.49,0.35,XAP,XNA,0.0,0.0,0
14504,116922,Cash loans,553581.0,31041.0,0.76,0.45,0.68,XAP,XAP,0.0,0.0,0
14592,117028,Revolving loans,540000.0,27000.0,0.0,0.58,0.0,XAP,XAP,0.0,0.0,Not applicable / Not specified
14673,117119,Cash loans,755190.0,36459.0,0.0,0.72,0.48,XAP,XAP,0.0,0.0,Not applicable / Not specified
14731,117189,Cash loans,1162170.0,41305.5,0.0,0.45,0.65,XAP,XAP,0.0,0.0,Not applicable / Not specified
14761,117230,Revolving loans,225000.0,11250.0,0.0,0.72,0.7,XAP,XNA,0.0,0.0,Not applicable / Not specified
14922,117420,Cash loans,901192.5,40851.0,0.32,0.43,0.39,XAP,XAP,13158.0,0.0,0
14951,117455,Cash loans,276277.5,10368.0,0.82,0.52,0.48,XAP,XAP,0.0,0.0,C
15138,117680,Cash loans,755190.0,32125.5,0.0,0.42,0.64,0,0,0.0,0.0,Not applicable / Not specified
15245,117800,Cash loans,254700.0,27558.0,0.0,0.36,0.31,SCOFR,XAP,0.0,0.0,Not applicable / Not specified
15302,117866,Cash loans,405000.0,26010.0,0.0,0.76,0.44,XAP,XAP,0.0,0.0,X
15359,117928,Cash loans,576072.0,21847.5,0.64,0.62,0.54,XAP,XAP,0.0,0.0,Not applicable / Not specified
15518,118111,Cash loans,62554.5,7551.0,0.51,0.61,0.16,XAP,XAP,11340.0,0.0,C
15647,118255,Cash loans,276903.0,25393.5,0.0,0.65,0.12,XAP,XNA,24862.5,0.0,X
15921,118580,Cash loans,360000.0,38326.5,0.44,0.1,0.12,XAP,XAP,0.0,0.0,Not applicable / Not specified
16015,118685,Revolving loans,270000.0,13500.0,0.51,0.39,0.6,XAP,XAP,0.0,0.0,Not applicable / Not specified
16158,118844,Cash loans,1332000.0,56565.0,0.72,0.68,0.51,XAP,XAP,2882.745,0.0,Not applicable / Not specified
16159,118845,Cash loans,508495.5,24462.0,0.42,0.71,0.62,XAP,XAP,0.0,0.0,Not applicable / Not specified
16192,118881,Cash loans,506889.0,40176.0,0.0,0.46,0.34,XAP,XAP,0.0,0.0,C
16208,118902,Cash loans,760225.5,30280.5,0.87,0.66,0.55,XAP,XAP,0.0,0.0,Not applicable / Not specified
16333,119048,Cash loans,562491.0,23962.5,0.61,0.19,0.0,CLIENT,XAP,0.0,0.0,0
16354,119074,Cash loans,808650.0,26086.5,0.27,0.33,0.63,XAP,XAP,0.0,0.0,0
16551,119307,Cash loans,1078200.0,31522.5,0.0,0.24,0.0,XAP,XNA,0.0,0.0,0
16926,119740,Cash loans,260640.0,31059.0,0.0,0.58,0.0,HC,XAP,0.0,0.0,C
17282,120155,Cash loans,781920.0,28215.0,0.0,0.59,0.0,XAP,Wedding / gift / holiday,0.0,0.0,Not applicable / Not specified
17483,120385,Revolving loans,405000.0,20250.0,0.0,0.11,0.65,XAP,XAP,-1.0,0.0,Not applicable / Not specified
17762,120710,Revolving loans,180000.0,9000.0,0.0,0.68,0.44,XAP,XAP,0.0,0.0,Not applicable / Not specified
17843,120805,Cash loans,814041.0,23931.0,0.0,0.6,0.64,XAP,XAP,0.0,0.0,Not applicable / Not specified
17847,120810,Revolving loans,540000.0,27000.0,0.0,0.35,0.73,XAP,XNA,0.0,0.0,Not applicable / Not specified
17975,120963,Cash loans,193500.0,15642.0,0.43,0.57,0.62,XAP,XAP,0.0,0.0,X
18076,121083,Cash loans,445500.0,20767.5,0.0,0.5,0.54,XAP,XAP,0.0,0.0,Not applicable / Not specified
18320,121371,Cash loans,904500.0,23989.5,0.0,0.72,0.62,0,0,0.0,0.0,Not applicable / Not specified
18477,121554,Cash loans,450000.0,20979.0,0.0,0.31,0.09,XAP,XAP,0.0,0.0,Not applicable / Not specified
18537,121625,Cash loans,428854.5,20119.5,0.0,0.65,0.78,XAP,XAP,0.0,0.0,Not applicable / Not specified
18611,121706,Cash loans,795294.0,73723.5,0.64,0.71,0.63,0,0,0.0,0.0,X
18660,121757,Cash loans,450000.0,24543.0,0.0,0.0,0.63,XAP,XAP,0.0,0.0,X
18664,121761,Cash loans,450000.0,51025.5,0.0,0.36,0.0,XAP,XNA,0.0,0.0,0
18775,121893,Cash loans,1125000.0,47794.5,0.0,0.69,0.48,XAP,Other,-1.0,0.0,C
18838,121967,Cash loans,571500.0,20655.0,0.65,0.57,0.75,XAP,XAP,0.0,0.0,C
18856,121988,Cash loans,254700.0,23697.0,0.0,0.59,0.76,0,0,0.0,0.0,Not applicable / Not specified
18891,122030,Cash loans,697500.0,24840.0,0.39,0.6,0.53,XAP,XNA,0.0,0.0,Not applicable / Not specified
19207,122408,Cash loans,225000.0,10620.0,0.0,0.53,0.61,XAP,XAP,40378.5,0.0,Not applicable / Not specified
19282,122496,Cash loans,193572.0,10116.0,0.0,0.09,0.83,XAP,XAP,0.0,0.0,Not applicable / Not specified
19353,122576,Cash loans,315000.0,29731.5,0.0,0.57,0.59,XAP,XAP,0.405,0.0,Not applicable / Not specified
19392,122619,Cash loans,454500.0,19237.5,0.0,0.65,0.0,XAP,XAP,0.0,0.0,0
19637,122898,Cash loans,1125000.0,47664.0,0.0,0.09,0.48,XAP,XAP,21015.0,0.0,C
19687,122955,Cash loans,743031.0,39717.0,0.58,0.54,0.0,XAP,XNA,0.0,0.0,0
19783,123070,Cash loans,497520.0,39307.5,0.0,0.69,0.55,XAP,XAP,0.0,0.0,Not applicable / Not specified
19824,123121,Cash loans,1090539.0,52596.0,0.0,0.3,0.0,XAP,XNA,0.0,0.0,X
19949,123269,Cash loans,497520.0,36184.5,0.69,0.34,0.34,0,0,-1.0,0.0,C
19965,123288,Cash loans,916470.0,26392.5,0.0,0.6,0.73,XAP,XNA,0.0,0.0,X
19993,123319,Cash loans,331632.0,30816.0,0.0,0.54,0.82,XAP,XAP,0.0,0.0,C
20666,124093,Cash loans,450000.0,30573.0,0.32,0.69,0.67,LIMIT,XAP,-1.0,0.0,Not applicable / Not specified
20696,124125,Cash loans,495000.0,38304.0,0.42,0.67,0.35,XAP,XNA,-1.0,0.0,C
20715,124145,Cash loans,64678.5,6921.0,0.0,0.65,0.27,XAP,XAP,6047.19,0.0,C
20916,124373,Cash loans,808650.0,26217.0,0.0,0.16,0.51,XAP,XAP,0.0,0.0,Not applicable / Not specified
20986,124457,Cash loans,1046142.0,30717.0,0.78,0.59,0.61,XAP,XAP,0.0,0.0,Not applicable / Not specified
21377,124908,Revolving loans,180000.0,9000.0,0.0,0.53,0.35,XAP,XAP,0.0,0.0,Not applicable / Not specified
21460,125000,Cash loans,675000.0,19737.0,0.41,0.55,0.32,XAP,XAP,0.0,0.0,Not applicable / Not specified
21580,125135,Cash loans,450000.0,22018.5,0.41,0.64,0.0,XAP,XNA,0.0,0.0,0
21622,125187,Cash loans,277969.5,20358.0,0.5,0.19,0.21,XAP,XAP,26388.0,0.0,X
21938,125557,Cash loans,485901.0,25569.0,0.0,0.44,0.81,XAP,XAP,0.0,0.0,Not applicable / Not specified
22008,125635,Cash loans,360000.0,15250.5,0.0,0.54,0.63,XAP,XAP,0.0,0.0,Not applicable / Not specified
22060,125689,Cash loans,900000.0,26446.5,0.0,0.57,0.38,XAP,XAP,3937.5,0.0,Not applicable / Not specified
22118,125757,Cash loans,855463.5,47898.0,0.0,0.44,0.84,XAP,XAP,0.0,0.0,X
22265,125918,Cash loans,225000.0,16371.0,0.09,0.39,0.31,XAP,XAP,0.0,0.0,0
22365,126032,Cash loans,472104.0,13113.0,0.0,0.66,0.59,XAP,XNA,0.0,0.0,Not applicable / Not specified
22511,126195,Cash loans,450000.0,20979.0,0.0,0.62,0.22,XAP,XAP,0.0,0.0,Not applicable / Not specified
22558,126250,Cash loans,966555.0,51628.5,0.75,0.29,0.0,SCO,XAP,0.0,0.0,Not applicable / Not specified
22618,126318,Cash loans,835380.0,40320.0,0.84,0.5,0.3,XAP,XAP,0.0,0.0,Not applicable / Not specified
22629,126330,Cash loans,685012.5,33084.0,0.0,0.33,0.0,XAP,XAP,0.0,0.0,0
22727,126442,Cash loans,536917.5,32976.0,0.79,0.04,0.53,LIMIT,XAP,0.0,0.0,0
22746,126463,Revolving loans,180000.0,9000.0,0.0,0.15,0.0,XAP,XAP,0.0,0.0,0
22856,126598,Cash loans,868797.0,44487.0,0.0,0.61,0.65,XAP,XNA,0.0,0.0,0
22958,126712,Cash loans,1082214.0,35041.5,0.0,0.07,0.13,XAP,XAP,0.0,0.0,Not applicable / Not specified
22999,126764,Cash loans,450000.0,23107.5,0.58,0.42,0.74,LIMIT,XNA,-1.0,0.0,C
23062,126837,Cash loans,127350.0,13509.0,0.0,0.61,0.0,XAP,XAP,0.0,0.0,0
23065,126840,Cash loans,755190.0,29677.5,0.86,0.53,0.7,XAP,XAP,0.0,0.0,Not applicable / Not specified
23217,127016,Cash loans,187704.0,10903.5,0.33,0.45,0.39,SCO,XAP,0.0,0.0,Not applicable / Not specified
23275,127078,Cash loans,497520.0,25272.0,0.41,0.49,0.55,XAP,XNA,0.0,0.0,Not applicable / Not specified
23319,127129,Cash loans,128092.5,11875.5,0.0,0.57,0.19,XAP,XAP,0.0,0.0,C
23386,127213,Cash loans,1257430.5,36895.5,0.57,0.62,0.0,XAP,XAP,0.0,0.0,0
23396,127224,Cash loans,521280.0,31630.5,0.3,0.74,0.35,XAP,XAP,0.0,0.0,C
23498,127343,Revolving loans,315000.0,15750.0,0.83,0.27,0.0,XAP,XNA,0.0,0.0,0
23677,127550,Cash loans,117162.0,6669.0,0.0,0.38,0.0,XAP,XAP,0.0,0.0,0
23744,127625,Cash loans,1350000.0,43681.5,0.65,0.73,0.09,XAP,XAP,0.0,0.0,Not applicable / Not specified
23784,127672,Cash loans,134775.0,9247.5,0.0,0.29,0.73,XAP,XAP,0.0,0.0,Not applicable / Not specified
23941,127847,Cash loans,1053000.0,34353.0,0.43,0.5,0.6,XAP,XAP,0.0,0.0,Not applicable / Not specified
23970,127877,Cash loans,170640.0,11034.0,0.15,0.61,0.0,XAP,XAP,0.0,0.0,0
24114,128043,Cash loans,296280.0,15255.0,0.0,0.73,0.6,XAP,XAP,0.0,0.0,C
24118,128051,Cash loans,450000.0,22977.0,0.0,0.28,0.3,XAP,XAP,0.0,0.0,Not applicable / Not specified
24145,128082,Cash loans,436032.0,21339.0,0.38,0.55,0.0,XAP,XNA,0.0,0.0,0
24183,128124,Cash loans,450000.0,16965.0,0.0,0.72,0.2,XAP,XNA,0.0,0.0,Not applicable / Not specified
24211,128158,Cash loans,288873.0,18936.0,0.25,0.22,0.73,XAP,XAP,0.0,0.0,Not applicable / Not specified
24374,128353,Cash loans,225000.0,17905.5,0.0,0.66,0.35,SCOFR,XAP,0.0,0.0,0
